Date,Week,Supplier,Description,Material Type,Material Length (mm),Material Width (mm),Material Thickness (mm),Quantity,Cost Inc VAT & Delivery,Cost Ex VAT,Unit Cost,Checked In,Payment Method,JT has invoice,STREAM,JOB REF/NOTES,,Supplier,,,,,,
01/03/2025,9,Northumberland Estates,Rent,Overhead,,,,,,"£1,415.00",,TRUE,,TRUE,,,,Aluminium Warehouse,,,,,,
01/03/2025,9,NBNE,Salaries,Overhead,,,,,,"£6,300.00",,TRUE,,TRUE,,,,Amazon,,,,,,
01/03/2025,9,NBNE,DIRTRANS,Overhead,,,,,,"£3,000.00",,TRUE,,TRUE,,,,TROTEC,,,,,,
01/03/2025,9,Unicorn Accountancy,Accounting Fee,Overhead,,,,,,£708.00,,TRUE,,TRUE,,,,Avensure,,,,,,
01/03/2025,9,Avensure,HR Consultancy,Overhead,,,,,,£130.00,,TRUE,,TRUE,,,,Dove,,,,,,
01/03/2025,9,SJP,Pension,Overhead,,,,,,£518.16,,TRUE,,TRUE,,,,Avensure,,,,,,
01/03/2025,9,Utilities,"Gas, Electricity, Water (water 54.00)",Overhead,,,,,,£540.00,,TRUE,,TRUE,,,,Dove,,,,,,
01/03/2025,9,Directors insurance,Insurance,Overhead,,,,,,£23.00,,TRUE,,TRUE,,,,Dye Sublimation,,,,,,
01/03/2025,9,HMRC,PAYE,Overhead,,,,,,"£1,241.00",,TRUE,,TRUE,,,,eBay,,,,,,
01/03/2025,9,NEST,Employee Pension,Overhead,,,,,,£400.00,,TRUE,,TRUE,,,,Employers Pension,,,,,,
01/03/2025,9,Zen Internet,Broadband,Overhead,,,,,,£30.00,,TRUE,,TRUE,,,,Envelopes,,,,,,
01/03/2025,9,NCC,Rates and rubbish (rates 125.00),Overhead,,,,,,£380.00,,TRUE,,TRUE,,,,First Fix Plastics,,,,,,
01/03/2025,9,Premium Credit,NBNE Insurance,Overhead,,,,,,£750.00,,TRUE,,TRUE,,,,Gas,,,,,,
01/03/2025,9,Zen Stores,D2C tool,Overhead,,,,,,£149.00,,TRUE,,TRUE,,,,Grafityp,,,,,,
01/03/2025,9,Subscription,MechEng TF,Overhead,,,,,,£36.19,,TRUE,,TRUE,,,,Granthams GT Ltd,,,,,,
01/03/2025,9,IONOS,Email and web hosting,Overhead,,,,,,£0.00,,TRUE,,TRUE,,,,Kite Packaging,,,,,,
01/03/2025,9,EzViz,"Security Camera Data, Monthly fee",Overhead,,,,,,£4.99,,TRUE,,TRUE,,,,LaserPly,,,,,,
01/03/2025,9,Canva,Design software,Overhead,,,,,,£10.00,,TRUE,,TRUE,,,,Longforte,,,,,,
01/03/2025,9,Microsoft,Software,Overhead,,,,,,£7.99,,TRUE,,TRUE,,,,Metal Supermarkets,,,,,,
01/03/2025,9,Royal Mail,D2C shipping estimate for month,Shipping,,,,,,"£2,800.00",,TRUE,,TRUE,,,,Longforte,,,,,,
01/03/2025,9,DHL,F2C shipping estimate for month,Shipping,,,,,,£800.00,,TRUE,,TRUE,,,,Screwfix,,,,,,
03/03/2025,,First Fix Plastics,Black dibond - 8x4,Dibond,,,,1 SHEET,,£48.00,,TRUE,Account,TRUE,,,,UPS,,,,,,
03/03/2025,,First Fix Plastics,Black 5mm acrylic cut into thirds,Acrylic,,,,1 SHEET,,£235.00,,TRUE,Account,TRUE,,,,Colourbyte,,,,,,
03/03/2025,,First Fix Plastics,Silver dibond cut into 4 - 610x1220,Dibond,,,,1 SHEET,,£53.00,,TRUE,Account,TRUE,,,,dhl,,,,,,
04/03/2025,,UPS,UK Shipment,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,Hanover Dairy,,,,,,
04/03/2025,,Novachrome,Silver sub 0.48,sublimate material,,,,50,,£166.20,,TRUE,Lloyds,FALSE,,,,Novachrome,,,,,,
04/03/2025,,Novachrome,Gold sub 0.48,sublimate material,,,,25,£266.92,£83.10,,TRUE,Lloyds,FALSE,,LINK,,Megacold,,,,,,
05/03/2025,,First Fix Plastics,Yellow Ink Mimaki - 1 litre,Ink,,,,,,£75.00,,FALSE,Account,FALSE,,,,Rennie Tools,,,,,,
06/03/2025,,UPS,UK Shipment,Shipping,,,,,,£2.40,,TRUE,Lloyds,FALSE,,,,Palletways,,,,,,
06/03/2025,,dhl,usa shipment,Shipping,,,,,,£149.95,,TRUE,Lloyds,FALSE,,,,ABC Cleaning Services,,,,,,
06/03/2025,,Amazon,A6 mailers,Packing & Admin,,,,,£26.99,£22.49,,TRUE,Lloyds,FALSE,,,,TURNBULLS,,,,,,
07/03/2025,,Screwfix,Spray Adhesive,Glue,,,,,,£10.18,,TRUE,Lloyds,FALSE,,LINK,,XL Displays,,,,,,
07/03/2025,,Dongguan Thunderlaser,Laser power supply and shipping for the Beast,General,,,,,,£202.00,,FALSE,,FALSE,,,,VEVOR,,,,,,
07/03/2025,,Grafityp,Yellow Mutoh Ink,Ink,,,,,£68.71,£94.39,,TRUE,Lloyds,TRUE,,link,,INKNTONER,,,,,,
10/03/2025,,Envelopes,Replacement bags for Raoul - 160x 160 x 1000 bags to cover,Packing & Admin,,,,,£17.02,£14.18,,TRUE,,FALSE,,,,B&M BARGAINS,,,,,,
10/03/2025,,Display Wizard,Cable Display Kit A1 / 3 Panel / Landscape,Fixings,,,,,£176.39,£146.99,,FALSE,Lloyds,FALSE,LOCAL,LINK,,ARGOS,,,,,,
10/03/2025,,First Fix Plastics,Lime Green 5mm Acrylic,Acrylic,,,,,£35.69,£29.74,,TRUE,Account,TRUE,LOCAL,LINK,,Dongguan Thunderlaser,,,,,,
10/03/2025,,TRADESIGNZ,4200mm Trough Light,General,,,,,£460.80,£384.00,,FALSE,Lloyds,FALSE,LOCAL,LINK,,Display Wizard,,,,,,
10/03/2025,,First Fix Plastics,1m x 1m x 10mm WHITE ACRYLIC,Acrylic,,,,,£102.85,£85.71,,FALSE,Account,FALSE,LOCAL,,,TRADESIGNZ,,,,,,
10/03/2025,,UK POS,Black Single Prong Grid Mesh Hook,Fixings,,,,,£20.64,£17.20,,FALSE,Lloyds,FALSE,LOCAL,LINK,,UK POS,,,,,,
11/03/2025,,Rennie Tools,"CNC bits - 2.5MM, 1.5MM, Engracing pieces",CNC Bits,,,,,£60.50,£50.42,,TRUE,Lloyds,FALSE,,LINK,,Curry and Sons,,,,,,
11/03/2025,,First Fix Plastics,Mimaki clear ink - old style long delay,Ink,,,,,,£135.00,,TRUE,Account,FALSE,,,,VISTAPRINT,,,,,,
11/03/2025,,Novachrome,silver sub 0.48 x 50 sheets,sublimate material,,,,,,£166.20,,TRUE,Lloyds,FALSE,,,,Sign Pro,,,,,,
11/03/2025,,Novachrome,white sub 0.48 x 25,sublimate material,,,,,£266.32,£82.50,,TRUE,Lloyds,FALSE,,link,,ALIEXPRESS,,,,,,
11/03/2025,,Curry and Sons,47KG Gas bottle,Gas Bottles,,,,,,£85.00,,TRUE,Lloyds,TRUE,,,,UK Printed Lanyards,,,,,,
11/03/2025,,Curry and Sons,13Kg gas bottle,Gas Bottles,,,,,,£45.00,Not sure of short bottle price,TRUE,Lloyds,TRUE,,,,,,,,,,
11/03/2025,,dhl,Canada shipment,Shipping,,,,,,£45.36,,TRUE,Lloyds,FALSE,,,,,,,,,,
12/03/2025,,Screwfix,Drill bits,Mechanics,,,,,£5.29,£4.41,,FALSE,Lloyds,FALSE,,,,,,,,,,
12/03/2025,,UPS,UK Shipment,Shipping,,,,,,£2.40,,FALSE,Lloyds,FALSE,,,,,,,,,,
12/03/2025,,Amazon,50mm STANDOFFS,Fixings,,,,,£7.49,£6.24,,FALSE,TF Expense,FALSE,LOCAL,LINK,,,,,,,,
12/03/2025,,VISTAPRINT,1000 Flyers,General,,,,,£67.49,£56.24,,FALSE,Lloyds,FALSE,LOCAL,LINK,,,,,,,,
12/03/2025,,First Fix Plastics,2 black 5mm acrylic sheets cut into thirds,Acrylic,,,,2,,£470.00,,TRUE,Account,TRUE,,,,,,,,,,
12/03/2025,,First Fix Plastics,3 8x4 white dibond sheets,Dibond,,,,3,,£75.00,,TRUE,Account,TRUE,,,,,,,,,,
12/03/2025,,First Fix Plastics,3 8x2 white dibond sheets - FOR CLAYPORT JEWELLERS,Dibond,,,,3,,£75.00,,TRUE,Account,TRUE,LOCAL,,,,,,,,,
12/03/2025,,First Fix Plastics,White dibond at 1867 x 1120,Dibond,,,,1,,£25.00,,TRUE,Account,TRUE,LOCAL,,,,,,,,,
12/03/2025,,First Fix Plastics,White dibond at 1867 x 1116,Dibond,,,,1,,£25.00,,TRUE,Account,TRUE,LOCAL,,,,,,,,,
12/03/2025,,First Fix Plastics,White dibond at 556 x 1384,Dibond,,,,1,,£25.00,,TRUE,Account,TRUE,LOCAL,,,,,,,,,
13/03/2025,,Sign Pro,Vinyl Print Beadnell,Vinyl,,,,2,,£88.00,,TRUE,Lloyds,TRUE,LOCAL,,,,,,,,,
13/03/2025,,Sign Pro,Vinyl Print,Vinyl,,,,1,,£21.00,,TRUE,Lloyds,TRUE,LOCAL,,,,,,,,,
13/03/2025,,Sign Pro,Vinyl Print reverse white 3 x 2m,Vinyl,,,,1,,£83.00,,TRUE,Lloyds,TRUE,LOCAL,,,,,,,,,
13/03/2025,,Sign Pro,Shipping,Packing & Admin,,,,1,,£8.00,,TRUE,Lloyds,TRUE,,,,,,,,,,
13/03/2025,,dhl,usa shipment,Shipping,,,,,,£100.66,,TRUE,Lloyds,TRUE,,,,,,,,,,
